description,category,dk_pn,mfr_pn,mfr,qty_shipped,gbp_unit_price,gbp_ext_price,invoice_id,date_shipped,series,product_status,package_type,core_processor,core_type,clock_speed,program_memory_size,other_parameters
STENCIL SSOP-28 .65MM,"Solder Stencils, Templates",PA0020-S-ND,PA0020-S,Chip Quik Inc.,2,£8.89000,£17.78,118415956,2025-11-25T12:09:49.686Z,Proto-Advantage PA,Active,Bulk,,,,,"{""Type"": ""SSOP"", ""Number of Positions"": ""28"", ""Pitch"": ""0.026\"" (0.65mm)"", ""Outer Dimension"": ""1.300\"" L x 0.900\"" W (33.02mm x 22.86mm)"", ""Inner Dimension"": ""-"", ""Thermal Center Pad"": ""-"", ""Material"": ""Stainless Steel"", ""Thickness"": ""0.0040\"" (0.102mm)""}"
SOIC-8 STENCIL,"Solder Stencils, Templates",PA0001-S-ND,PA0001-S,Chip Quik Inc.,3,£8.89000,£26.67,118415956,2025-11-25T12:09:49.686Z,Proto-Advantage PA,Active,Bulk,,,,,"{""Type"": ""SOIC"", ""Number of Positions"": ""8"", ""Pitch"": ""0.050\"" (1.27mm)"", ""Outer Dimension"": ""1.300\"" L x 0.900\"" W (33.02mm x 22.86mm)"", ""Inner Dimension"": ""-"", ""Thermal Center Pad"": ""-"", ""Material"": ""Stainless Steel"", ""Thickness"": ""0.0040\"" (0.102mm)""}"
NARROW DUAL ROW 0.5MM PITCH 60-P,"Solder Stencils, Templates",315-NDR050P060-S-ND,NDR050P060-S,Chip Quik Inc.,1,£8.89000,£8.89,118415956,2025-11-25T12:09:49.686Z,Proto-Advantage NDR,Active,Bulk,,,,,"{""Type"": ""-"", ""Number of Positions"": ""60"", ""Pitch"": ""0.020\"" (0.50mm)"", ""Outer Dimension"": ""-"", ""Inner Dimension"": ""-"", ""Thermal Center Pad"": ""-"", ""Material"": ""Stainless Steel"", ""Thickness"": ""-""}"
ST33HTPH2X32AHE4,Embedded,497-ST33HTPH2X32AHE4CT-ND,ST33HTPH2X32AHE4,STMicroelectronics,4,£3.08000,£12.32,118415956,2025-11-25T12:09:49.686Z,ST33,Active,Cut Tape (CT),SecurCore® SC300™,SecurCore® SC300™,,,"{""Applications"": ""Trusted Platform Module (TPM)"", ""Program Memory Type"": ""FLASH"", ""Controller Series"": ""ST33TPHF2ESPI"", ""RAM Size"": ""-"", ""Interface"": ""SPI"", ""Number of I/O"": ""2"", ""Voltage - Supply"": ""1.8V, 3.3V"", ""Operating Temperature"": ""-40°C ~ 105°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""32-VFQFN Exposed Pad"", ""Supplier Device Package"": ""32-VFQFPN (5x5)""}"
STSAFE CHIP_EA_MM,Embedded,497-STSAFA120DFSPL05-ND,STSAFA120DFSPL05,STMicroelectronics,10,£1.52100,£15.21,118415956,2025-11-25T12:09:49.686Z,-,Active,Bulk,-,-,,,"{""Applications"": ""Authentication, Security"", ""Program Memory Type"": ""NVM (16kB)"", ""Controller Series"": ""STSAFE-A"", ""RAM Size"": ""-"", ""Interface"": ""I2C"", ""Voltage - Supply"": ""2.7V ~ 5.5V"", ""Operating Temperature"": ""-40°C ~ 105°C (TA)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-UFDFN Exposed Pad"", ""Supplier Device Package"": ""8-UFDFPN (2x3)""}"
ULTRA-LOW-POWER WITH FPU ARM COR,Embedded,497-STM32U375VGT6Q-ND,STM32U375VGT6Q,STMicroelectronics,5,£5.15000,£25.75,118415956,2025-11-25T12:09:49.686Z,STM32U3,Active,Tray,ARM® Cortex®-M33F,Cortex-M33F,96MHz,1MB (1M x 8),"{""Connectivity"": ""CANbus, I2C, IrDA, LINbus, SAI, SmartCard, SPDIF, SPI, UART/USART, USB"", ""Peripherals"": ""Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, WDT"", ""Number of I/O"": ""79"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""256K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.71V ~ 3.6V"", ""Data Converters"": ""A/D 18x12b SAR; D/A 2x12b"", ""Oscillator Type"": ""Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""100-LQFP (14x14)"", ""Package / Case"": ""100-LQFP""}"
IC MCU 32BIT 192KB FLASH 64LQFP,Embedded,497-STM32L073RZT6CT-ND,STM32L073RZT6TR,STMicroelectronics,15,£3.00300,£45.05,118415956,2025-11-25T12:09:49.686Z,STM32L0,Active,Cut Tape (CT),ARM® Cortex®-M0+,Cortex-M0+,32MHz,192KB (192K x 8),"{""DigiKey Programmable"": ""Not Verified"", ""Connectivity"": ""I2C, IrDA, LINbus, SPI, UART/USART, USB"", ""Peripherals"": ""Brown-out Detect/Reset, DMA, I2S, LCD, POR, PWM, WDT"", ""Number of I/O"": ""51"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""6K x 8"", ""RAM Size"": ""20K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.8V ~ 3.6V"", ""Data Converters"": ""A/D 15x12b; D/A 2x12b"", ""Oscillator Type"": ""Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""64-LQFP (10x10)"", ""Package / Case"": ""64-LQFP""}"
IC MCU 32BIT 64KB FLASH 64LQFP,Embedded,497-19667-1-ND,STM32L053R8T6TR,STMicroelectronics,10,£1.99000,£19.90,118415956,2025-11-25T12:09:49.686Z,STM32L0,Active,Cut Tape (CT),ARM® Cortex®-M0+,Cortex-M0+,32MHz,64KB (64K x 8),"{""DigiKey Programmable"": ""Not Verified"", ""Connectivity"": ""I2C, IrDA, SPI, UART/USART, USB"", ""Peripherals"": ""Brown-out Detect/Reset, DMA, I2S, LCD, POR, PWM, WDT"", ""Number of I/O"": ""51"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""2K x 8"", ""RAM Size"": ""8K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.8V ~ 3.6V"", ""Data Converters"": ""A/D 16x12b; D/A 1x12b"", ""Oscillator Type"": ""Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""64-LQFP (10x10)"", ""Package / Case"": ""64-LQFP""}"
EVAL BOARD FOR MCP73831,Evaluation Boards,1528-1833-ND,1904,Adafruit Industries LLC,3,£5.33000,£15.99,118415956,2025-11-25T12:09:49.686Z,-,Active,Bulk,,,,,"{""Type"": ""Power Management"", ""Function"": ""Battery Charger"", ""Embedded"": ""-"", ""Utilized IC / Part"": ""MCP73831"", ""Primary Attributes"": ""USB Powered"", ""Secondary Attributes"": ""On-Board LEDs"", ""Contents"": ""Board(s)"", ""Note"": ""-""}"
STSAFE CHIP_EA_MM,Embedded,497-STSAFA120DFSPL05-ND,STSAFA120DFSPL05,STMicroelectronics,10,£1.52100,£15.21,118415956,2025-11-25T12:09:49.686Z,-,Active,Bulk,-,-,,,"{""Applications"": ""Authentication, Security"", ""Program Memory Type"": ""NVM (16kB)"", ""Controller Series"": ""STSAFE-A"", ""RAM Size"": ""-"", ""Interface"": ""I2C"", ""Voltage - Supply"": ""2.7V ~ 5.5V"", ""Operating Temperature"": ""-40°C ~ 105°C (TA)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-UFDFN Exposed Pad"", ""Supplier Device Package"": ""8-UFDFPN (2x3)""}"
IC EEPROM 16MBIT SPI/QUAD 8SOIC,Memory,497-M95P16-IXMNT/E-ND,M95P16-IXMNT/E,STMicroelectronics,25,£0.72160,£18.04,118415956,2025-11-25T12:09:49.686Z,-,Active,Bulk,,,,,"{""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""EEPROM"", ""Technology"": ""EEPROM"", ""Memory Size"": ""16Mbit"", ""Memory Organization"": ""2M x 8"", ""Memory Interface"": ""SPI - Quad I/O"", ""Clock Frequency"": ""80 MHz"", ""Write Cycle Time - Word, Page"": ""1.5ms"", ""Access Time"": ""10 ns"", ""Voltage - Supply"": ""1.6V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SO""}"
IC MCU 32BIT 32KB FLASH 32LQFP,Embedded,497-STM32C031K6T6-ND,STM32C031K6T6,STMicroelectronics,25,£0.62000,£15.50,118415956,2025-11-25T12:09:49.686Z,STM32C0,Active,Tray,ARM® Cortex®-M0+,Cortex-M0+,48MHz,32KB (32K x 8),"{""DigiKey Programmable"": ""Not Verified"", ""Connectivity"": ""I2C, IrDA, LINbus, SPI, UART/USART"", ""Peripherals"": ""Brown-out Detect/Reset, POR, PWM, Temp Sensor, WDT"", ""Number of I/O"": ""30"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""12K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""2V ~ 3.6V"", ""Data Converters"": ""A/D 18x12b SAR"", ""Oscillator Type"": ""External, Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""32-LQFP (7x7)"", ""Package / Case"": ""32-LQFP""}"
IC MCU 32BIT 64KB FLASH 32LQFP,Embedded,497-19770-ND,STM32G030K8T6,STMicroelectronics,25,£0.93200,£23.30,118415956,2025-11-25T12:09:49.686Z,STM32G0,Active,Tray,ARM® Cortex®-M0+,Cortex-M0+,64MHz,64KB (64K x 8),"{""DigiKey Programmable"": ""Not Verified"", ""Connectivity"": ""I2C, IrDA, LINbus, SPI, SmartCard, UART/USART"", ""Peripherals"": ""DMA, I2S, POR, PWM, WDT"", ""Number of I/O"": ""30"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""8K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""2V ~ 3.6V"", ""Data Converters"": ""A/D 16x12b"", ""Oscillator Type"": ""External, Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""32-LQFP (7x7)"", ""Package / Case"": ""32-LQFP""}"
QSPI FLASH 128MBIT W25Q128(Q),Evaluation Boards,1528-5634-ND,5634,Adafruit Industries LLC,8,£2.26000,£18.08,118397768,2025-11-24T23:03:56.303Z,-,Active,Bulk,,,,,"{""Platform"": ""-"", ""Type"": ""Memory"", ""Function"": ""Flash"", ""Utilized IC / Part"": ""W25Q128(Q)"", ""Contents"": ""Board(s), Header(s)"", ""Suggested Programming Environment"": ""Arduino, CircuitPython"", ""Interconnect System"": ""-"", ""Note"": ""Header(s) Not Installed"", ""Primary Attributes"": ""128Mbit (16MB)"", ""Secondary Attributes"": ""QSPI Interface(s)""}"
LCD MOD 80DIG 20X4 TRANSFLCT WHT,"LCD, OLED Character and Numeric",NHD-0420AZ-FSW-GBW-33V3-ND,NHD-0420AZ-FSW-GBW-33V3,Newhaven Display Intl,7,£9.87800,£69.15,118397768,2025-11-24T23:03:56.303Z,-,Active,Bulk,,,,,"{""Number of Characters"": ""80.0"", ""Display Format"": ""20 x 4"", ""Character Format"": ""5 x 8 Dots"", ""Display Type"": ""STN - Super-Twisted Nematic"", ""Display Mode"": ""Transflective"", ""Character Size"": ""4.03mm H x 2.30mm W"", ""Outline L x W x H"": ""77.00mm x 47.00mm x 14.50mm"", ""Viewing Area"": ""60.00mm L x 22.00mm W"", ""Backlight"": ""LED - White"", ""Voltage - Supply"": ""3V ~ 3.6V"", ""Dot Size"": ""0.42mm W x 0.46mm H"", ""Interface"": ""Parallel"", ""Controller Type"": ""SPLC780D OR ST7066U"", ""Operating Temperature"": ""-20°C ~ 70°C"", ""Text Color"": ""Blue"", ""Background Color"": ""White""}"
ADAPTER BOARD SMT QFP100/128/144,"Adapter, Breakout Boards",438-1016-ND,8100-SMT7,Twin Industries,1,£26.09000,£26.09,118397768,2025-11-24T23:03:56.303Z,-,Active,Bulk,,,,,"{""Proto Board Type"": ""SMD to Plated Through Hole Board"", ""Package Accepted"": ""SOIC"", ""Number of Positions"": ""-"", ""Pitch"": ""-"", ""Board Thickness"": ""0.062\"" (1.57mm) 1/16\"""", ""Material"": ""-"", ""Size / Dimension"": ""4.200\"" L x 4.200\"" W (106.68mm x 106.68mm)""}"
IC BATT CHG LI-ION 1CELL 14VQFN,Power Management (PMIC),296-27187-1-ND,BQ24155RGYR,Texas Instruments,25,£0.92800,£23.20,118397768,2025-11-24T23:03:56.303Z,-,Active,Cut Tape (CT),,,,,"{""Battery Chemistry"": ""Lithium Ion/Polymer"", ""Number of Cells"": ""1"", ""Current - Charging"": ""Constant - Programmable"", ""Programmable Features"": ""Current, Timer, Voltage"", ""Fault Protection"": ""Over Temperature, Over Voltage"", ""Charge Current - Max"": ""1.25A"", ""Battery Pack Voltage"": ""4.44V (Max)"", ""Voltage - Supply (Max)"": ""6V"", ""Interface"": ""I2C"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""14-VFQFN Exposed Pad"", ""Supplier Device Package"": ""14-VQFN (3.5x3.5)""}"
CONN RCPT USB2.0 TYPE C 16+8POS,"USB, DVI, HDMI Connectors",2073-USB4085-GF-ACT-ND,USB4085-GF-A,GCT,25,£0.54000,£13.50,118397768,2025-11-24T23:03:56.303Z,USB4085,Active,Cut Tape (CT),,,,,"{""Connector Type"": ""USB-C (USB TYPE-C)"", ""Number of Contacts"": ""24 (16+8 Dummy)"", ""Gender"": ""Receptacle"", ""Specifications"": ""USB 2.0"", ""Mounting Type"": ""Through Hole, Right Angle"", ""Mounting Feature"": ""Horizontal"", ""Termination"": ""Solder"", ""Features"": ""Solder Retention Tab"", ""Ingress Protection"": ""-"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Number of Ports"": ""1"", ""Current Rating (Amps)"": ""5A"", ""Voltage - Rated"": ""48VDC"", ""Mating Cycles"": ""20000"", ""Shielding"": ""Shielded"", ""Contact Finish"": ""Gold"", ""Shell/Shielding Material"": ""Steel, Stainless"", ""Material Flammability Rating"": ""UL94 V-0"", ""Insulation Color"": ""Black""}"
1812 RESETTABLE SMD PPTC 0.5/16V,PTC Resettable Fuses,118-MF-MSMF050/16X-2CT-ND,MF-MSMF050/16X-2,Bourns Inc.,20,£0.35700,£7.14,118397768,2025-11-24T23:03:56.303Z,"Multifuse®, MF-MSMF",Active,Cut Tape (CT),,,,,"{""Type"": ""Polymeric"", ""Voltage - Max"": ""16V"", ""Current - Hold (Ih) (Max)"": ""500 mA"", ""Current - Trip (It)"": ""1 A"", ""Current - Max"": ""100 A"", ""Time to Trip"": ""200 ms"", ""Resistance - Initial (Ri) (Min)"": ""150 mOhms"", ""Resistance - Post Trip (R1) (Max)"": ""1.3 Ohms"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Qualification"": ""-"", ""Ratings"": ""AEC-Q200"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""1812 (4532 Metric), Concave"", ""Size / Dimension"": ""0.181\"" L x 0.128\"" W (4.60mm x 3.24mm)"", ""Height - Seated (Max)"": ""-"", ""Thickness (Max)"": ""0.033\"" (0.85mm)"", ""Lead Spacing"": ""-"", ""Approval Agency"": ""cUR, cURus, TUV""}"
PTC RESET FUSE 20V 550MA RADIAL,PTC Resettable Fuses,495-76405-ND,B59975C0160A070,EPCOS - TDK Electronics,10,£0.95000,£9.50,118397768,2025-11-24T23:03:56.303Z,B59975,Active,Bulk,,,,,"{""Type"": ""Ceramic"", ""Voltage - Max"": ""20V"", ""Current - Hold (Ih) (Max)"": ""550 mA"", ""Current - Trip (It)"": ""1.1 A"", ""Current - Max"": ""3 A"", ""Resistance - 25°C (Typ)"": ""1.8 Ohms"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Ratings"": ""-"", ""Mounting Type"": ""Through Hole"", ""Package / Case"": ""Radial, Disc"", ""Size / Dimension"": ""0.354\"" Dia x 0.138\"" T (9.00mm x 3.50mm)"", ""Height - Seated (Max)"": ""0.492\"" (12.50mm)"", ""Thickness (Max)"": ""-"", ""Lead Spacing"": ""0.197\"" (5.00mm)"", ""Approval Agency"": ""UR""}"
TVS DIODE 5VWM 15VC SOT236L,Transient Voltage Suppressors (TVS),4530-SRV05-4CT-ND,SRV05-4,ANBON SEMICONDUCTOR (INT'L) LIMITED,20,£0.10200,£2.04,118397768,2025-11-24T23:03:56.303Z,-,Active,Cut Tape (CT),,,,,"{""Type"": ""Steering (Rail to Rail)"", ""Unidirectional Channels"": ""4"", ""Voltage - Reverse Standoff (Typ)"": ""5V (Max)"", ""Voltage - Breakdown (Min)"": ""6V"", ""Voltage - Clamping (Max) @ Ipp"": ""15V"", ""Current - Peak Pulse (10/1000µs)"": ""4A (8/20µs)"", ""Power - Peak Pulse"": ""60W"", ""Power Line Protection"": ""Yes"", ""Applications"": ""General Purpose"", ""Capacitance @ Frequency"": ""1pF @ 1MHz"", ""Operating Temperature"": ""-55°C ~ 125°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""SOT-23-6"", ""Supplier Device Package"": ""SOT23-6L""}"
IC REG BUCK ADJ 2A SOT23,Power Management (PMIC),296-48175-1-ND,TLV62569PDDCR,Texas Instruments,50,£0.11360,£5.68,118397768,2025-11-24T23:03:56.303Z,-,Active,Cut Tape (CT),,,,,"{""Function"": ""Step-Down"", ""Output Configuration"": ""Positive"", ""Topology"": ""Buck"", ""Output Type"": ""Adjustable"", ""Number of Outputs"": ""-"", ""Voltage - Input (Min)"": ""2.5V"", ""Voltage - Input (Max)"": ""5.5V"", ""Voltage - Output (Min/Fixed)"": ""0.6V"", ""Voltage - Output (Max)"": ""5.5V"", ""Current - Output"": ""2A"", ""Frequency - Switching"": ""1.5MHz"", ""Synchronous Rectifier"": ""Yes"", ""Operating Temperature"": ""-40°C ~ 125°C (TJ)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""SOT-23-6 Thin, TSOT-23-6"", ""Supplier Device Package"": ""SOT-23-THIN""}"
FIXED IND 2.2UH 3.8 A 65 MOHM HI,Fixed Inductors,541-IHLP1616BZER2R2M5ACT-ND,IHLP1616BZER2R2M5A,Vishay Dale,25,£0.60800,£15.20,118397768,2025-11-24T23:03:56.303Z,IHLP-1616BZ-5A,Active,Cut Tape (CT),,,,,"{""Type"": ""Molded"", ""Material - Core"": ""-"", ""Inductance"": ""2.2 µH"", ""Tolerance"": ""±20%"", ""Current Rating (Amps)"": ""3.8 A"", ""Current - Saturation (Isat)"": ""4A"", ""Shielding"": ""Shielded"", ""DC Resistance (DCR)"": ""65mOhm Max"", ""Q @ Freq"": ""-"", ""Frequency - Self Resonant"": ""37MHz"", ""Ratings"": ""AEC-Q200"", ""Operating Temperature"": ""-55°C ~ 155°C"", ""Inductance Frequency - Test"": ""100 kHz"", ""Features"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""Nonstandard"", ""Supplier Device Package"": ""-"", ""Size / Dimension"": ""0.175\"" L x 0.160\"" W (4.45mm x 4.06mm)"", ""Height - Seated (Max)"": ""0.079\"" (2.00mm)""}"
IC SCREEN CNTRL 12BIT 16TSSOP,Data Acquisition,296-TSC2013QPWRQ1CT-ND,TSC2013QPWRQ1,Texas Instruments,5,£1.93000,£9.65,118397768,2025-11-24T23:03:56.303Z,-,Active,Cut Tape (CT),,,,,"{""Touchscreen"": ""4 Wire Resistive"", ""Resolution (Bits)"": ""10, 12 b"", ""Interface"": ""I2C"", ""Voltage Reference"": ""External"", ""Voltage - Supply"": ""1.2V ~ 3.6V"", ""Current - Supply"": ""655 µA"", ""Operating Temperature"": ""-40°C ~ 125°C"", ""Mounting Type"": ""Surface Mount"", ""Grade"": ""Automotive"", ""Qualification"": ""AEC-Q100"", ""Package / Case"": ""16-TSSOP (0.173\"", 4.40mm Width)"", ""Supplier Device Package"": ""16-TSSOP""}"
IC MCU 32BIT 2MB FLASH 144LQFP,Embedded,497-STM32U575ZIT6Q-ND,STM32U575ZIT6Q,STMicroelectronics,10,£6.53100,£65.31,118397768,2025-11-24T23:03:56.303Z,STM32U5,Active,Bulk,ARM® Cortex®-M33,Cortex-M33,160MHz,2MB (2M x 8),"{""Connectivity"": ""CANbus, I2C, IrDA, LINbus, MMC/SD/SDIO, SAI, SmartCard, SPDIF, SPI, UART/USART, USB, USB OTG"", ""Peripherals"": ""Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, WDT"", ""Number of I/O"": ""111"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""784K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.71V ~ 3.6V"", ""Data Converters"": ""A/D 22x12/14b SAR; D/A 2x12b"", ""Oscillator Type"": ""External, Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""144-LQFP (20x20)"", ""Package / Case"": ""144-LQFP""}"
IC FLASH 128MBIT SPI/QUAD 8SOIC,Memory,W25Q128JVSIQ-ND,W25Q128JVSIQ,Winbond Electronics,10,£1.35200,£13.52,118397768,2025-11-24T23:03:56.303Z,SpiFlash®,Active,Tube,,,,,"{""DigiKey Programmable"": ""Verified"", ""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""FLASH"", ""Technology"": ""FLASH - NOR"", ""Memory Size"": ""128Mbit"", ""Memory Organization"": ""16M x 8"", ""Memory Interface"": ""SPI - Quad I/O, QPI"", ""Clock Frequency"": ""133 MHz"", ""Write Cycle Time - Word, Page"": ""3ms"", ""Voltage - Supply"": ""2.7V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.209\"", 5.30mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
MRAM MEMORY IC 4MBIT QSPI 1.8V 1,Memory,5446-S3A4004R0M-AI1ATCT-ND,S3A4004R0M-AI1AT,Netsol,5,£7.57000,£37.85,118397768,2025-11-24T23:03:56.303Z,-,Active,Cut Tape (CT),,,,,"{""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""RAM"", ""Technology"": ""MRAM (Magnetoresistive RAM)"", ""Memory Size"": ""4Mbit"", ""Memory Organization"": ""1M x 4"", ""Memory Interface"": ""SPI - Quad I/O"", ""Clock Frequency"": ""108 MHz"", ""Write Cycle Time - Word, Page"": ""-"", ""Access Time"": ""7 ns"", ""Voltage - Supply"": ""1.71V ~ 1.98V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
ADAFRUIT MPR121 12-KEY CAPACITIV,Evaluation Boards,1528-4830-ND,4830,Adafruit Industries LLC,5,£5.33000,£26.65,118363563,2025-11-24T06:00:00Z,-,Active,Bulk,,,,,"{""Platform"": ""Qwiic, STEMMA QT"", ""Type"": ""Sensor"", ""Function"": ""Capacitive Touch"", ""Utilized IC / Part"": ""MPR121"", ""Contents"": ""Board(s)"", ""Suggested Programming Environment"": ""Arduino, CircuitPython, Python"", ""Interconnect System"": ""Qwiic, STEMMA QT"", ""Note"": ""-""}"
RF TXRX MOD BT WIFIU.FL SMD,RF Transceiver Modules and Modems,1965-ESP32-C3-WROOM-02U-N4CT-ND,ESP32-C3-WROOM-02U-N4,Espressif Systems,5,£2.61000,£13.05,118363563,2025-11-24T06:00:00Z,ESP32,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Not Verified"", ""RF Family/Standard"": ""Bluetooth, WiFi"", ""Protocol"": ""802.11b/g/n, Bluetooth v5.0"", ""Modulation"": ""-"", ""Frequency"": ""2.4GHz"", ""Data Rate"": ""150Mbps"", ""Power - Output"": ""20.5dBm"", ""Sensitivity"": ""-98dBm"", ""Serial Interfaces"": ""ADC, GPIO, I2C, I2S, SPI, JTAG, PWM, UART, USB"", ""Antenna Type"": ""Antenna Not Included, U.FL"", ""Utilized IC / Part"": ""ESP32-C3"", ""Memory Size"": ""4MB Flash, 384kB ROM, 408kB SRAM"", ""Voltage - Supply"": ""3V ~ 3.6V"", ""Current - Receiving"": ""82mA ~ 84mA"", ""Current - Transmitting"": ""280mA ~ 345mA"", ""Mounting Type"": ""Surface Mount"", ""Operating Temperature"": ""-40°C ~ 105°C (TA)"", ""Package / Case"": ""19-SMD Module""}"
ADAFRUIT MPR121 12-KEY CAPACITIV,Evaluation Boards,1528-4830-ND,4830,Adafruit Industries LLC,1,£5.33000,£5.33,118363563,2025-11-24T06:00:00Z,-,Active,Bulk,,,,,"{""Platform"": ""Qwiic, STEMMA QT"", ""Type"": ""Sensor"", ""Function"": ""Capacitive Touch"", ""Utilized IC / Part"": ""MPR121"", ""Contents"": ""Board(s)"", ""Suggested Programming Environment"": ""Arduino, CircuitPython, Python"", ""Interconnect System"": ""Qwiic, STEMMA QT"", ""Note"": ""-""}"
RF TXRX MOD BT TH SMD,RF Transceiver Modules and Modems,1695-DA14531MOD-00F01002CT-ND,DA14531MOD-00F01002,Renesas Electronics Corporation,10,£3.89200,£38.92,118363563,2025-11-24T06:00:00Z,SmartBond™,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Verified"", ""RF Family/Standard"": ""Bluetooth"", ""Protocol"": ""Bluetooth v5.1"", ""Modulation"": ""-"", ""Frequency"": ""2.4GHz ~ 2.4835GHz"", ""Data Rate"": ""-"", ""Power - Output"": ""2.2dBm"", ""Sensitivity"": ""-93dBm"", ""Serial Interfaces"": ""ADC, GPIO, I2C, SPI, UART"", ""Antenna Type"": ""Integrated, Trace"", ""Utilized IC / Part"": ""DA14531"", ""Memory Size"": ""128kB Flash, 144kB ROM, 48kB RAM"", ""Voltage - Supply"": ""1.8V ~ 3.3V"", ""Current - Receiving"": ""2mA"", ""Current - Transmitting"": ""4mA"", ""Mounting Type"": ""Surface Mount"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Package / Case"": ""16-SMD Module""}"
QT PY LIION OR LIPOLY CHARGER,Evaluation Boards,1528-5397-ND,5397,Adafruit Industries LLC,5,£3.80000,£19.00,118363563,2025-11-24T06:00:00Z,-,Active,Bulk,,,,,"{""Platform"": ""QT Py"", ""Type"": ""Power Management"", ""Function"": ""Battery Charger"", ""Utilized IC / Part"": ""MCP73831"", ""Contents"": ""Board(s), Header(s)"", ""Suggested Programming Environment"": ""-"", ""Interconnect System"": ""Qwiic, STEMMA QT"", ""Note"": ""Header(s) Not Installed""}"
MICROSD CARD MODULE FOR ARDUINO,Evaluation Boards,1738-1038-ND,DFR0229,DFRobot,5,£3.99000,£19.95,118363563,2025-11-24T06:00:00Z,-,Active,Bulk,,,,,"{""Platform"": ""Arduino"", ""Type"": ""Connectivity"", ""Function"": ""Micro SD"", ""Utilized IC / Part"": ""-"", ""Contents"": ""Board(s)"", ""Note"": ""-""}"
