mfr_pn,dk_pn,description,qty_bought
LQP03TN0N6B02D,490-6707-1-ND,FIXED IND 0.6NH 850MA 70MOHM SMD,50
LRC0402CS1N5GV001T,712-LRC0402CS1N5GV001TCT-ND,FIXED IND 1.5NH 300MA 130MOHM SM,50
MIC5156YN,576-2356-ND,IC LNR REG CTRLR 1OUT 8DIP,5
RS809-4.65YSF3,3565-RS809-4.65YSF3CT-ND,IC SUPERVISOR 1 CHANNEL SOT23-3,25
MIC803-29D2VM3-TR,576-3802-1-ND,IC SUPERVISOR 1 CHANNEL SOT23-3,25
LM4040D30IDBZR,296-19437-1-ND,IC VREF SHUNT 1% SOT23-3,10
CD74HCT4046AE,296-33156-5-ND,IC PHASE LOCK LOOP 16DIP,10
MCP7940MT-I/SN,MCP7940MT-I/SNCT-ND,IC RTC CLK/CALENDAR I2C 8SOIC,10
BY25Q64ESSIG(R),5369-BY25Q64ESSIG(R)CT-ND,IC FLASH 64MBIT SPI/QUAD 8SOP,10
AT25SF321B-SSHB-B,1265-AT25SF321B-SSHB-B-ND,IC FLASH 32MBIT SPI/QUAD 8SOIC,10
23K640-I/P,23K640-I/P-ND,IC SRAM 64KBIT SPI 20MHZ 8DIP,15
4677,1528-4677-ND,IC PSRAM 64MBIT SPI 133MHZ 8SOIC,10
AT25SF081B-SSHD-B,1265-AT25SF081B-SSHD-B-ND,IC FLASH 8MBIT SPI/QUAD 8SOIC,20
W25Q64JWSSIM,256-W25Q64JWSSIM-ND,IC FLASH 64MBIT SPI/QUAD 8SOIC,12
S3A8004V0M-AI1AT,5446-S3A8004V0M-AI1ATCT-ND,MRAM MEMORY IC 8MBIT QSPI 3.3V 1,3
M95P08-EXMNT/E,497-M95P08-EXMNT/ECT-ND,IC EEPROM 8MBIT SPI/QUAD 8SOIC,10
4677,1528-4677-ND,IC PSRAM 64MBIT SPI 133MHZ 8SOIC,12
M95P08-EXMNT/E,497-M95P08-EXMNT/ECT-ND,IC EEPROM 8MBIT SPI/QUAD 8SOIC,10
MCP7940MT-I/SN,MCP7940MT-I/SNCT-ND,IC RTC CLK/CALENDAR I2C 8SOIC,6
PGM-11801,1568-1079-ND,TINY AVR PROGRAMMER,1
ATTINY85-20PU,ATTINY85-20PU-ND,IC MCU 8BIT 8KB FLASH 8DIP,10
STM32H723ZGT6,497-STM32H723ZGT6-ND,IC MCU 32BIT 1MB FLASH 144LQFP,4
STM32F413VGT6,497-17009-ND,IC MCU 32BIT 1MB FLASH 100LQFP,10
STM32H563ZIT6,497-STM32H563ZIT6-ND,IC MCU 32BIT 2MB FLASH 144LQFP,4
M41T81SM6F,497-4684-1-ND,IC RTC CLK/CALENDAR I2C 8SOIC,10
MB85RS256TYPNF-G-BCERE1,865-1293-1-ND,IC FRAM 256KBIT SPI 33MHZ 8SOP,5
SPC560B50L5C6E0Y,497-18515-ND,IC MCU 32BIT 512KB FLASH 144LQFP,2
STM32L071VZT6,497-18579-ND,IC MCU 32BIT 192KB FLASH 100LQFP,2
ORANGECRAB-R0D2-85,2077-ORANGECRAB-R0D2-85-ND,ORANGECRAB R0.2.1 85F - LATTICE,1
410-398,1286-410-398-ND,USB104 A7: ARTIX-7 FPGA DEVELOPM,1
KGM15AR71H102KT,478-KGM15AR71H102KTCT-ND,CAP CER 1000PF 50V X7R 0603,500
DMG2301L-7,DMG2301L-7DICT-ND,MOSFET P-CH 20V 3A SOT23,150
APX810S-31SA-7,APX810S-31SA-7DICT-ND,IC SUPERVISOR 1 CHANNEL SOT23,150
UWT0J102MNL1GS,493-2160-1-ND,CAP ALUM 1000UF 20% 6.3V SMD,50
EEE-FN0J182UP,10-EEE-FN0J182UPCT-ND,CAP ALUM 1800UF 20% 6.3V SMD,16
865080142007,732-8472-1-ND,CAP ALUM 100UF 20% 6.3V SMD,50
UWT1C471MNL1GS,493-2181-1-ND,CAP ALUM 470UF 20% 16V SMD,50
GRM31CD80J107MEA8K,490-GRM31CD80J107MEA8KCT-ND,CAP CER 100UF 6.3V X6T 1206,50
GCM1885C1H202JA16D,490-GCM1885C1H202JA16DCT-ND,CAP CER 2000PF 50V C0G/NP0 0603,500
CC0603JRNPO9BN121,311-1070-1-ND,CAP CER 120PF 50V C0G/NPO 0603,100
VJ0603Y472KXACW1BC,720-1530-1-ND,CAP CER 4700PF 50V X7R 0603,500
CC0603KPX7R9BB273,13-CC0603KPX7R9BB273CT-ND,CAP CER 0.027UF 50V X7R 0603,100
ESD12VD5-TP,ESD12VD5-TPMSCT-ND,TVS DIODE 12VWM 25VC SOD523,100
CD4063BM96,296-CD4063BM96CT-ND,IC MAG COMPARATOR 4BIT 16-SOIC,50
DMN3731U-13,31-DMN3731U-13CT-ND,MOSFET N-CH 30V 900MA SOT23,150
ESD5V0D5-TP,ESD5V0D5-TPMSCT-ND,TVS DIODE 5VWM 18.6VC SOD523,100
EDZVT2R3.3B,EDZVT2R3.3BCT-ND,DIODE ZENER 3.3V 150MW EMD2,100
MM3Z5V6ST1G,MM3Z5V6ST1GOSCT-ND,DIODE ZENER 5.6V 300MW SOD323,100
